fixture_id,fotmob_match_id,team_name,starting_xi_avg_rating,starting_xi_total_rating,starting_xi_avg_minutes,starting_xi_total_minutes,substitutes_avg_rating,formation,team_goals,team_assists,team_shots,team_shots_on_target,team_chances_created,team_expected_goals,shots_on_target_rate,goals_per_shot,goals_minus_xg,team_tackles,team_interceptions,team_clearances,goals_conceded,expected_goals_against,yellow_cards,red_cards,best_player_rating,worst_starter_rating,avg_player_rating,total_player_minutes,goal_contributions,substitute_goal_contributions
537327,4667751,Mexico,7.479090909090909,82.27,82.0909090909091,903.0,6.264,4-1-4-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,7.1,6.05,6.449999999999999,0.0,0.0,
537327,4667751,South Africa,5.803636363636364,63.839999999999996,78.0909090909091,859.0,5.91,5-3-2,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.1,3.54,6.449999999999999,0.0,0.0,
537328,4667752,Czechia,6.519090909090909,71.71000000000001,82.36363636363636,906.0,5.989999999999999,3-4-2-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,2.0,,0.0,0.0,7.4,5.66,6.9,0.0,0.0,
537328,4667752,South Korea,7.488181818181818,82.36999999999999,82.54545454545455,908.0,6.846666666666667,3-4-2-1,2.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,7.4,6.86,6.9,0.0,0.0,
537329,4667753,Czechia,6.965454545454546,76.61999999999999,78.36363636363636,862.0,6.2299999999999995,3-5-2,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.9,5.71,6.800000000000001,0.0,0.0,
537329,4667753,South Africa,7.015454545454546,77.16999999999999,83.18181818181819,915.0,6.45,4-3-3,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.9,5.74,6.800000000000001,0.0,0.0,
537330,4667754,Mexico,7.15090909090909,78.66000000000001,84.18181818181819,926.0,6.05,4-1-4-1,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,6.9,6.16,6.65,0.0,0.0,
537330,4667754,South Korea,6.456363636363636,71.02,79.36363636363636,873.0,6.1899999999999995,3-4-2-1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,,0.0,0.0,6.9,5.77,6.65,0.0,0.0,
537331,4667755,Czechia,,,,,,3-5-2,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,
537331,4667755,Mexico,,,,,,4-1-4-1,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,
